match,game_time,home_name,away_name,home_score,away_score,game_description
527,11/24/2021 11:00,TEXAS TIGRES 09',CHELSEA EAST 09,2,2,
561,11/24/2021 11:00,EP LOCOMOTIVE FC EP LOCOMOT,HOUSTONIANS FC 09B,0,0,
562,11/24/2021 11:00,AZTECAS FUTBOL AZTECAS FC 09B Blue,MSK RAYADOS 09B,1,0,
536,11/24/2021 11:30,BARÇA ACADEMY NASHVILLE BAR,SPORTS GROUP 1 SG1 09B,0,0,
537,11/24/2021 11:30,PRIMOS FC,AVANTI SOCCER ACADEMY 09B,0,1,
546,11/24/2021 12:15,RAPIDS SOUTH 09B ELITE,ALBION HURRICANES AHFC 09B,1,2,
547,11/24/2021 12:15,AVANTI SOCCER ACADEMY 09B WEST,ASPIRE FC 09 YELLOW,4,0,
526,11/24/2021 13:30,CADENCE SFC 2009 ACADEMY,RISE SC RISE U13B ECNL,0,1,
559,11/24/2021 14:45,AZTECAS FUTBOL AZTECAS FC 09B Blue,HOUSTONIANS FC 09B,0,2,
560,11/24/2021 15:15,IMPERIAL SC 09B,ID CHELSEA JR 09B Q,2,3,
525,11/24/2021 16:00,CHELSEA EAST 09,ID REAL HOUSTON 09B Q,0,2,
544,11/24/2021 16:00,AVANTI SOCCER ACADEMY 09B WEST,ALBION HURRICANES AHFC 09B,2,0,
535,11/24/2021 16:30,AVANTI SOCCER ACADEMY 09B,DYNAMO WOODLANDS 09 PA,1,1,
545,11/24/2021 17:15,SOCCER CENTRO 09,DDYSC HOUSTON DYNAMO YOUTH ECNL RL 09,1,1,
528,11/25/2021 08:15,CADENCE SFC 2009 ACADEMY,CHELSEA EAST 09,0,1,
530,11/25/2021 08:15,RISE SC RISE U13B ECNL,ID REAL HOUSTON 09B Q,1,4,
541,11/25/2021 08:15,BARÇA ACADEMY NASHVILLE BAR,PRIMOS FC,0,1,
563,11/25/2021 08:15,EP LOCOMOTIVE FC EP LOCOMOT,ID CHELSEA JR 09B Q,0,2,
564,11/25/2021 09:00,AZTECAS FUTBOL AZTECAS FC 09B Blue,IMPERIAL SC 09B,1,1,
551,11/25/2021 11:30,SOCCER CENTRO 09,RAPIDS SOUTH 09B ELITE,0,3,
566,11/25/2021 11:30,EP LOCOMOTIVE FC EP LOCOMOT,IMPERIAL SC 09B,3,0,
538,11/26/2021 08:00,BARÇA ACADEMY NASHVILLE BAR,AVANTI SOCCER ACADEMY 09B,1,1,
552,11/26/2021 08:00,AVANTI SOCCER ACADEMY 09B WEST,DDYSC HOUSTON DYNAMO YOUTH ECNL RL 09,1,0,
554,11/26/2021 08:00,SOCCER CENTRO 09,ALBION HURRICANES AHFC 09B,0,4,
540,11/26/2021 08:30,DYNAMO WOODLANDS 09 PA,SPORTS GROUP 1 SG1 09B,1,1,
572,11/26/2021 08:30,ID CHELSEA JR 09B Q,MSK RAYADOS 09B,0,1,
531,11/26/2021 09:00,CADENCE SFC 2009 ACADEMY,TEXAS TIGRES 09',1,5,
